setting,rep,gamma,method,changept
"Transition: Homo
Reward: PC",98,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",98,0.9,Integral,50
"Transition: Homo
Reward: PC",99,0.9,Normalised,50
"Transition: Homo
Reward: PC",99,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",99,0.9,Integral,50
"Transition: Homo
Reward: PC",100,0.9,Normalised,50
"Transition: Homo
Reward: PC",100,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",100,0.9,Integral,50
"Transition: Homo
Reward: PC",1,0.95,Normalised,50
"Transition: Homo
Reward: PC",1,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",1,0.95,Integral,50
"Transition: Homo
Reward: PC",2,0.95,Normalised,50
"Transition: Homo
Reward: PC",2,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",2,0.95,Integral,50
"Transition: Homo
Reward: PC",3,0.95,Normalised,75
"Transition: Homo
Reward: PC",3,0.95,Unnormalised,75
"Transition: Homo
Reward: PC",3,0.95,Integral,75
"Transition: Homo
Reward: PC",4,0.95,Normalised,50
"Transition: Homo
Reward: PC",4,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",4,0.95,Integral,50
"Transition: Homo
Reward: PC",5,0.95,Normalised,50
"Transition: Homo
Reward: PC",5,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",5,0.95,Integral,50
"Transition: Homo
Reward: PC",6,0.95,Normalised,50
"Transition: Homo
Reward: PC",6,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",6,0.95,Integral,50
"Transition: Homo
Reward: PC",7,0.95,Normalised,50
"Transition: Homo
Reward: PC",7,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",7,0.95,Integral,50
"Transition: Homo
Reward: PC",8,0.95,Normalised,50
"Transition: Homo
Reward: PC",8,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",8,0.95,Integral,50
"Transition: Homo
Reward: PC",9,0.95,Normalised,50
"Transition: Homo
Reward: PC",9,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",9,0.95,Integral,50
"Transition: Homo
Reward: PC",10,0.95,Normalised,50
"Transition: Homo
Reward: PC",10,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",10,0.95,Integral,50
"Transition: Homo
Reward: PC",11,0.95,Normalised,50
"Transition: Homo
Reward: PC",11,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",11,0.95,Integral,50
"Transition: Homo
Reward: PC",12,0.95,Normalised,50
"Transition: Homo
Reward: PC",12,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",12,0.95,Integral,50
"Transition: Homo
Reward: PC",13,0.95,Normalised,50
"Transition: Homo
Reward: PC",13,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",13,0.95,Integral,50
